ID,Name,Abbreviation,Conference,Division,Wins,Losses,Ties
1,Arizona Cardinals,ARI,NFC,West,8,1,0
2,Atlanta Falcons,ATL,NFC,South,4,5,0
3,Baltimore Ravens,BAL,AFC,North,7,2,0
4,Buffalo Bills,BUF,AFC,East,5,4,0
5,Carolina Panthers,CAR,NFC,South,1,8,0
6,Chicago Bears,CHI,NFC,North,3,7,0
7,Cincinnati Bengals,CIN,AFC,North,5,3,0
8,Cleveland Browns,CLE,AFC,North,6,3,0
9,Dallas Cowboys,DAL,NFC,East,5,3,0
10,Denver Broncos,DEN,AFC,West,3,5,0
11,Detroit Lions,DET,NFC,North,6,2,0
12,Green Bay Packers,GB,NFC,North,3,6,0
13,Houston Texans,HOU,AFC,South,5,4,0
14,Indianapolis Colts,IND,AFC,South,5,5,0
15,Jacksonville Jaguars,JAX,AFC,South,6,3,0
16,Kansas City Chiefs,KC,AFC,West,7,2,0
17,Miami Dolphins,MIA,AFC,East,6,3,0
18,Minnesota Vikings,MIN,NFC,North,6,4,0
19,New England Patriots,NE,AFC,East,2,8,0
20,New Orleans Saints,NO,NFC,South,5,5,0
21,New York Giants,NYG,NFC,East,2,7,0
22,New York Jets,NYJ,AFC,East,4,4,0
23,Las Vegas Raiders,LV,AFC,West,4,5,0
24,Philadelphia Eagles,PHI,NFC,East,8,1,0
25,Pittsburgh Steelers,PIT,AFC,North,6,3,0
26,Los Angeles Chargers,LAC,AFC,West,4,4,0
27,San Francisco 49ers,SF,NFC,West,6,3,0
28,Seattle Seahawks,SEA,NFC,West,5,3,0
29,Los Angeles Rams,LAR,NFC,West,6,3,0
30,Tampa Bay Buccaneers,TB,NFC,South,4,5,0
31,Tennessee Titans,TEN,AFC,South,3,6,0
32,Washington Commanders,WAS,NFC,East,4,5,0